Time: 20211220-101336, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.96% +- 0.66% 
Time: 20211220-112611, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 66.15% +- 0.67% 
Time: 20211223-100626, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 64.35% +- 0.68% 
Time: 20220217-182652, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.50% +- 0.64% 
Time: 20220217-190612, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.39% +- 0.66% 
Time: 20220217-194441, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.12% +- 0.68% 
Time: 20220217-202334, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.32% +- 0.67% 
Time: 20220218-183326, Setting: miniImagnet-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.45% +- 0.66% 
Time: 20220218-191201, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.36% +- 0.68% 
Time: 20220218-195109, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.12% +- 0.68% 
Time: 20220218-203032, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.56% +- 0.65% 
